,tree_id,tree_dbh,health,steward,postcode,borough,cncldist,nta_name,nta,latitude,longitude
33461,233857,21,Good,,11229,Brooklyn,46,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,40.60078622,-73.93152579
33501,212661,11,Good,,10031,Manhattan,7,Hamilton Heights,MN04,40.82931353,-73.94829846
33511,234467,3,Good,1or2,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.67308009,-73.97652509
33512,222113,4,Good,,10032,Manhattan,7,Washington Heights South,MN36,40.83389415,-73.94503192
33513,222114,12,Good,,10032,Manhattan,7,Washington Heights South,MN36,40.83384724,-73.9450666
33514,211367,16,Good,,11105,Queens,22,Steinway,QN72,40.77677004,-73.91423431
33522,229523,19,Good,,11375,Queens,29,Forest Hills,QN17,40.70868825,-73.85202588
33523,211364,21,Good,,11105,Queens,22,Steinway,QN72,40.77622561,-73.91489942
33524,230159,15,Good,,10301,Staten Island,49,New Brighton-Silver Lake,SI35,40.63278087,-74.09693644
33525,214572,36,Good,1or2,11375,Queens,29,Forest Hills,QN17,40.71495147,-73.8453177
33526,222335,17,Fair,,10466,Bronx,12,Woodlawn-Wakefield,BX62,40.89518086,-73.85159677
33527,235432,16,Good,,10309,Staten Island,51,Rossville-Woodrow,SI32,40.5481686,-74.21900523
33540,211158,43,Good,,10466,Bronx,12,Woodlawn-Wakefield,BX62,40.90298899,-73.84200149
33553,196462,16,Fair,,10314,Staten Island,50,New Springville-Bloomfield-Travis,SI05,40.60024134,-74.16409916
33566,225580,3,Good,1or2,11418,Queens,28,Richmond Hill,QN54,40.69548718,-73.83440921
33573,231985,14,Good,,10026,Manhattan,9,Central Harlem South,MN11,40.80467705,-73.95575275
33574,236480,24,Good,,11215,Brooklyn,38,Windsor Terrace,BK40,40.65928958,-73.98388319
33575,230164,4,Fair,,10301,Staten Island,49,New Brighton-Silver Lake,SI35,40.63266298,-74.09632523
33576,221372,37,Good,,11373,Queens,25,Elmhurst,QN29,40.73510265,-73.87661533
33577,225565,24,Good,,10466,Bronx,12,Woodlawn-Wakefield,BX62,40.89365219,-73.84579189
33579,198927,7,Good,3or4,11205,Brooklyn,33,Clinton Hill,BK69,40.6914399,-73.9588221
33589,189071,19,Good,1or2,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.6703298,-73.97657199
33590,235031,7,Good,,11218,Brooklyn,39,Kensington-Ocean Parkway,BK41,40.63529849,-73.97498775
33591,199340,25,Fair,,11369,Queens,25,Jackson Heights,QN28,40.75995789,-73.87838601
33601,219587,15,Good,,11373,Queens,25,Elmhurst,QN29,40.73504752,-73.86512713
33605,201080,18,Good,,11375,Queens,29,Forest Hills,QN17,40.71421998,-73.83844399
33606,211365,28,Good,,11105,Queens,22,Steinway,QN72,40.77643136,-73.91464807
33616,219947,15,Good,,11415,Queens,29,Kew Gardens,QN60,40.70176443,-73.83037991
33617,232240,6,Good,,10009,Manhattan,2,East Village,MN22,40.73080306,-73.98151158
33623,212363,23,Fair,,11427,Queens,23,Oakland Gardens,QN42,40.73137821,-73.7599398
33624,214418,37,Good,,11361,Queens,19,Bayside-Bayside Hills,QN46,40.76592891,-73.76060329
33626,233170,28,Good,1or2,10461,Bronx,13,Pelham Parkway,BX49,40.85729498,-73.85136854
33628,211244,47,Good,,10466,Bronx,12,Woodlawn-Wakefield,BX62,40.90213823,-73.84164633
33630,229777,5,Poor,,10301,Staten Island,49,New Brighton-Silver Lake,SI35,40.63182314,-74.0968338
33631,247595,4,Good,3or4,10026,Manhattan,9,Central Harlem South,MN11,40.80594216,-73.95481493
33632,228760,31,Good,,11427,Queens,23,Bellerose,QN43,40.73192374,-73.73348452
33634,210141,12,Good,,10457,Bronx,15,Mount Hope,BX41,40.84639488,-73.90388159
33635,231080,15,Good,,11426,Queens,23,Bellerose,QN43,40.73533573,-73.71554914
33636,233169,33,Good,1or2,10461,Bronx,13,Pelham Parkway,BX49,40.85730562,-73.85126611
33637,171667,19,Good,,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.67057274,-73.98524572
33638,212413,14,Good,,10032,Manhattan,7,Hamilton Heights,MN04,40.83152206,-73.94669211
33642,246241,4,Fair,1or2,10013,Manhattan,3,SoHo-TriBeCa-Civic Center-Little Italy,MN24,40.72565527,-74.00833326
33643,205027,16,Good,1or2,11211,Brooklyn,34,East Williamsburg,BK90,40.71694402,-73.94314069
33644,217712,26,Good,,11222,Brooklyn,33,Greenpoint,BK76,40.72282642,-73.94125531
33645,225651,20,Good,,11427,Queens,23,Bellerose,QN43,40.73331265,-73.74287613
33657,231138,29,Good,,11428,Queens,23,Bellerose,QN43,40.72819908,-73.73246945
33658,189076,14,Good,1or2,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.67064201,-73.97722117
33659,235032,8,Good,,11218,Brooklyn,39,Kensington-Ocean Parkway,BK41,40.63524579,-73.97497776
33668,238660,3,Good,1or2,11218,Brooklyn,39,Windsor Terrace,BK40,40.6572922,-73.97623239
33670,235269,30,Fair,,11412,Queens,27,Hollis,QN07,40.70697693,-73.7592383
33671,235134,25,Good,,11412,Queens,27,Hollis,QN07,40.70702252,-73.75955698
33672,230021,7,Fair,,10301,Staten Island,49,New Brighton-Silver Lake,SI35,40.63146333,-74.09425525
33683,197407,29,Fair,,10461,Bronx,13,Schuylerville-Throgs Neck-Edgewater Park,BX52,40.83819515,-73.83067205
33684,221622,11,Good,,11222,Brooklyn,33,Greenpoint,BK76,40.72542951,-73.94878546
33685,238534,2,Fair,3or4,10472,Bronx,18,West Farms-Bronx River,BX08,40.83299233,-73.8647348
33691,228371,37,Good,,11364,Queens,23,Oakland Gardens,QN42,40.74416462,-73.75438445
